,count,mean,std,min,25%,50%,75%,max
Avg Sci,794.0,20.1323677581864,2.2858571005763895,12.4,19.3,20.5,21.4,28.4
Avg Reading,794.0,20.041939546599494,2.369886055411652,11.6,19.1,20.4,21.4,30.1
