,count,mean,std,min,25%,50%,75%,max
Avg Sci,674.0,22.16928783382789,1.6237438890345894,11.4,21.6,22.3,23.0,26.6
Avg Reading,674.0,22.322551928783383,1.8222405141352382,11.1,21.5,22.5,23.3,29.2
