,count,mean,std,min,25%,50%,75%,max
Avg Sci,766.0,20.314099216710183,2.2388219732823047,11.6,19.3,20.7,21.6,27.6
Avg Reading,766.0,20.469190600522197,2.3603569294096576,12.5,19.4,20.8,21.875,29.0
