,count,mean,std,min,25%,50%,75%,max
Avg Sci,677.0,22.191137370753324,1.7778830341651743,13.1,21.6,22.5,23.2,28.0
Avg Reading,677.0,22.45878877400295,2.056689261923268,12.0,21.7,22.7,23.6,29.2
